Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm)
2024 235 23:14:39, 320.466, 10.389,320.466, 10.390,0, 27.2,  0.7,  6.8, 27.2,  0.0, 11.6, 26.5, 14.9, 14.9, -26.6, 14.8, 14.9, -22.1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.4, -102.5, -43.1, -43.0, -97.9, -43.2, -43.2, -128.0
2024 235 23:14:40, 320.530, 10.479,320.531, 10.480,0, 27.3,  0.7,  6.8, 27.3,  0.0, 11.6, 26.5, 14.6, 14.6, -26.6, 14.6, 14.6, -22.1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.4, -102.5, -43.0, -43.0, -99.8, -43.2, -43.1, -128.0
2024 235 23:14:41, 320.596, 10.569,320.595, 10.569,0, 27.2,  0.7,  6.8, 27.2,  0.0, 11.6, 26.5, 14.4, 14.4, -17.0, 14.4, 14.4, -26.6, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.4, -102.5, -43.0, -43.1, -128.0, -43.2, -43.3, -128.0
2024 235 23:14:42, 320.660, 10.658,320.661, 10.659,0, 27.2,  0.7,  6.8, 27.2,  0.0, 11.6, 26.5, 14.1, 14.1, -26.4, 14.2, 14.2, -26.7, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.4, -102.5, -43.2, -43.2, -97.6, -43.2, -43.3, -128.0
2024 235 23:14:43, 320.727, 10.749,320.726, 10.749,0, 27.3,  0.7,  7.0, 27.3,  0.0, 11.6, 26.5, 14.0, 14.0, -22.9, 13.9, 13.9, -26.7, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.7, -106.3, -100.1, -79.7, -107.0, -117.4, -102.5, -43.1, -43.0, -128.0, -43.1, -43.1, -128.0
2024 235 23:14:44, 320.793, 10.841,320.793, 10.840,0, 27.3,  0.7,  7.0, 27.3,  0.0, 11.8, 26.6, 13.9, 13.9, -23.1, 13.9, 13.9, -26.6, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.7, -106.3, -100.0, -79.7, -107.0, -117.2, -102.4, -43.1, -43.1, -96.6, -43.1, -43.1, -128.0
2024 235 23:14:45, 320.853, 10.922,320.853, 10.922,0, 27.3,  0.7,  7.0, 27.3,  0.0, 11.8, 26.6, 13.7, 13.7, -26.8, 13.7, 13.7, -26.8, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.7, -106.3, -100.0, -79.7, -107.0, -117.2, -102.4, -43.1, -43.1, -96.6, -43.1, -43.2, -128.0
2024 235 23:14:46, 320.926, 11.021,320.926, 11.023,0, 27.4,  0.7,  7.1, 27.4,  0.0, 11.8, 26.6, 13.3, 13.7, -26.6, 13.3, 13.3, -26.9, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.6, -106.3, -99.9, -79.6, -107.0, -117.2, -102.4, -43.0, -43.1, -96.6, -43.1, -43.0, -128.0
2024 235 23:14:47, 320.994, 11.115,320.994, 11.114,0, 27.4,  0.7,  7.2, 27.4,  0.0, 11.8, 26.6, 12.9, 13.3, -32.7, 12.9, 13.3, -26.6, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.6, -106.3, -99.8, -79.6, -107.0, -117.2, -102.4, -43.1, -43.1, -96.7, -43.1, -43.0, -128.0
2024 235 23:14:48, 321.062, 11.207,321.062, 11.207,0, 27.4,  0.7,  7.2, 27.4,  0.0, 11.8, 26.6, 12.8, 12.9, -26.9, 12.8, 13.0, -14.3, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.7, -106.3, -99.8, -79.7, -107.0, -117.2, -102.4, -43.1, -43.1, -96.7, -43.1, -43.1, -128.0
